identifier,filename,title,format,description,contributor,coverage,creator,date,latitude,longitude,year,publisher,rights,subject
PC013674,https://archive.org/details/PC013674,"Hudson's Bay Co. Department Stores, Edmonton, Alta.",image/jpeg,"Hudson's Bay Company store, Edmonton, Alberta.",,Canada; Alberta; Edmonton,"MacFarlane, W. G.: Publisher",1908,,,1908,"W.G. MacFarlane, Publisher, Toronto and Buffalo",Public Domain,Department stores; Carriages & coaches
PC014172,https://archive.org/details/PC014172,"Jasper Avenue, near First Street, Edmonton",image/jpeg,"View of a downtown street showing storefronts, pedestrians, automobiles, and a streetcar.",,Canada; Alberta; Edmonton,"The Valentine & Sons Publishing Co., Ltd.: Publisher",1910-06-20,,,1910,"The Valentine & Sons Publishing Co., Ltd. Montreal and Toronto",Public Domain,Business districts; Street railroads; Street lights; Pedestrians; Automobiles
PC007083,https://archive.org/details/PC007083,"Edmonton, Alta. The Hudson Bay Co.'s old fort",image/jpeg,"View of the old Hudson's Bay Company fort near Edmonton, Alberta along with surrounding landscape.",,Canada; Alberta; Edmonton,Novelty Manufacturing & Art Printing Co.: Publisher,1910,,,1910,"Novelty Manufacturing and Art Printing Co., Montreal.",For more information visit the University of Alberta Library digital collections rights page,Forts & fortifications; Trading posts; Fur trade; Historic sites; Hudson's Bay Company; Fort Edmonton (Edmonton;  Alta.)
PC006540,https://archive.org/details/PC006540,"First Presbyterian Church, Edmonton, Alta.",image/jpeg,"Exterior view of the First Presbyterian Church and grounds in Edmonton, Alberta.",,Canada; Alberta; Edmonton,The Heliotype Co. Ltd.: Printer,1910,,,1910,"Printed by the Heliotype Co. Ltd., Ottawa",Public Domain,Presbyterian churches; First Presbyterian Church (Edmonton;  Alta.)
PC006627,https://archive.org/details/PC006627,"Jasper Avenue, Edmonton, Alta.",image/jpeg,"Street scene in Edmonton, Alberta. A parade of men and women on horse-drawn carts; people line in the street in front of the stores.",,Canada; Alberta; Edmonton,"The Pugh Mfg. Co., Ltd.: Publisher",1910,,,1910,"The Pugh Mfg. Co., Ltd., Toronto",Public Domain,Carts & wagons; Parades & processions; Commercial streets; Crowds
PC013685,https://archive.org/details/PC013685,"Windsor Hotel, Edmonton",image/jpeg,"Exterior view of the Windsor Hotel in Edmonton, Alberta. Pedestrians and horse-drawn carriages are visible.",,Canada; Alberta; Edmonton,The H. Enida Olive Co.: Publisher,1910-06-20,,,1910,"The H. Enida Olive Co'y Ltd, Calgary",Public Domain,Hotels; Windsor Hotel (Edmonton;  Alta.)
PC013746,https://archive.org/details/PC013746,"Court House, Edmonton, Alta.",image/jpeg,"View of the Court House, located on 102 Avenue and 100 Street, Edmonton, Alberta.",,Canada; Alberta; Edmonton,The Valentine & Sons United Publishing Co.: Publisher,1910,,,1910,The Valentine & Sons United Publishing Co. Limited Toronto and Winnipeg,For more information visit the University of Alberta Library digital collections rights page,Courthouses
PC013676,https://archive.org/details/PC013676,"Queen's Avenue School, Edmonton, Alta.",image/jpeg,"Queen's Avenue School, Edmonton, Alberta. Built in 1902, converted to Canadian National Railway's office in 1927, torn down in 1947.",,Canada; Alberta; Edmonton,"Graydon, George H.: Publisher",1910-06-20,,,1910,"Published by Geo. H. Graydon, Edmonton, Alta.",Public Domain,Schools
PC006770,https://archive.org/details/PC006770,"C.P.R. Office building, Edmonton, Alta.",image/jpeg,"View of the Canadian Pacific Railway (CPR) building in Edmonton, Alberta. Pedestrians are standing and walking on the sidewalks.",,Canada; Alberta; Edmonton,Novelty Manufacturing & Art Printing Co.: Publisher,1910-06-18,,,1910,"Novelty Manufacturing & Art Printing Co., Montreal.",Public Domain,Railroad stations; Pedestrians
PC006797,https://archive.org/details/PC006797,"Saskatchewan River, Edmonton, Alta.",image/jpeg,"Image shows the tree-lined banks of the North Saskatchewan River, Edmonton, Alberta.",,Canada; Alberta; Edmonton,"Warwick Bro's & Rutter: Publisher,The Douglas Co. Limited: Published for",1910-03-21,,,1910,"Warwick Bro's & Rutter Limited, Publishers, Toronto",Public Domain,Rivers; Trees; North Saskatchewan River (Alta. and Sask.)
PC014189,https://archive.org/details/PC014189,"Jasper Ave., Edmonton, Alberta",image/jpeg,"Street in Edmonton, Alberta, lined with shops. There are various horse-drawn vehicles along the sidewalks, and people are visible, engaged in various activities.",,Canada; Alberta; Edmonton,,1911,,,1911,,Public Domain,Commercial streets; Stores & shops; Street railroads; Carriages & coaches; Pedestrians
PC013939,https://archive.org/details/PC013939,"Looking up the Saskatchewan River, Edmonton, Alta.",image/jpeg,View of North Saskatchewan River at Edmonton.,,Canada; Alberta; Edmonton,The Valentine & Sons Publishing Co.: Publisher,1912,,,1912,"The Valentine & Sons' Publishing Co., Ltd. Montreal and Toronto",Public Domain,Rivers; Boats; Dwellings; North Saskatchewan River (Alta. and Sask.)
PC006364,https://archive.org/details/PC006364,Some of Edmonton's Schools,image/jpeg,"Exterior views of four schools in Edmonton, Alberta including the Separate School, the High School, McKay Ave. Public School and Norwood Public School.",,Canada; Alberta; Edmonton,Novelty Manufacturing & Art Printing Co.: Publisher,1913-06-18,,,1913,"Novelty Manufacturing and Art Printing Co., Montreal.",Public Domain,Schools; Composite photographs
PC013593,https://archive.org/details/PC013593,"Parliament Bldg, Edmonton",image/jpeg,"Exterior view of the Parliament Building and grounds in Edmonton, Alberta.",,Canada; Alberta; Edmonton,Frasch Fotos: Photographer,1913,,,1913,"Frasch Fotos, Edmonton, Alta.",Public Domain,Capitols; Government facilities; Legislative Building (Edmonton;  Alta.)
PC006691,https://archive.org/details/PC006691,"First Street, Edmonton, Alta.",image/jpeg,"View of a commercial street in town with stores and shops on the either side or pedestrians on the sidewalk. The streetcar line can be seen down the street, with a streetcar in service.",,Canada; Alberta; Edmonton,Leonards Cigar Store: Published for,1914,,,1914,"Pub. for Leonards Cigar Store, Pantages Theatre Bldg., Edmonton, Alta.",Public Domain,Commercial streets; Street railroads; Carts & wagons; Utility poles; City & town life
PC006948,https://archive.org/details/PC006948,"Mill Creek, Edmonton, Alta.",image/jpeg,A man standing on a wooden bridge built over a creek in a forest.,,Canada; Alberta; Edmonton,Novelty Manufacturing & Art Printing Co.: Publisher,1914-06-18,,,1914,"Novelty Manufacturing and Art Printing Co., Montreal.",Public Domain,Streams; Bridges
PC022827,https://archive.org/details/PC022827,"Alberta College, Edmonton, Alta.",image/jpeg,,,Canada; Alberta; Edmonton,,1914,,,1914,,Public Domain,
PC006864,https://archive.org/details/PC006864,"South Side Park, Edmonton, Alberta, Canada",image/jpeg,"View of a path or road through South Side Park in Edmonton, Alberta. People are visible in the middle of a clearing, and trees are abundant.",,Canada; Alberta; Edmonton,Photogelatine Engraving Co.: Publisher,1920,,,1920,"Photogelatine Engraving Co. Limited, Ottawa",Public Domain,Parks; Trails & paths; Trees; Gardens
PC013807,https://archive.org/details/PC013807,"Public Library, Edmonton, Alberta",image/jpeg,"Exterior of the Central Branch of the Edmonton Public Library, Edmonton, Alberta. MacDonald Hotel in background.",,Canada; Alberta; Edmonton,Photogelatine Engraving Co.: Publisher,1920,,,1920,Photogelatine Engraving Co. Limited Ottawa,Public Domain,Public libraries; Hotels; Edmonton Public Library. Central Library; Hotel Macdonald (Edmonton;  Alta.)
PC013660,https://archive.org/details/PC013660,"Royal Alexandra Hospital, Edmonton, Alta.",image/jpeg,"Exterior view of the Royal Alexandra Hospital in Edmonton, Alberta.",,Canada; Alberta; Edmonton,Novelty Manufacturing & Art Printing Co.: Publisher,1920-06-20,,,1920,"Novelty Mfg. & Art Co. Ltd., Montreal",Public Domain,Hospitals; Royal Alexandra Hospitals (Edmonton;  Alta.)
PC013623,https://archive.org/details/PC013623,Edmonton Arts Bldg. University.,image/jpeg,"Arts Building, University of Alberta, Edmonton, Alberta.",,Canada; Alberta; Edmonton,Western Card Co.: Publisher,1920,,,1920,"Copyright Western Card Co., Calgary, Alta.",For more information visit the University of Alberta Library digital collections rights page,Universities & colleges; Educational facilities; Art education; University of Alberta
PC006984,https://archive.org/details/PC006984,"Medical Building, University of Alberta, Edmonton, Alta.",image/jpeg,"Exterior view of the University Medical Building at the University of Alberta in Edmonton, Alberta. The building is now the Dentistry/Pharmacy Centre.",,Canada; Alberta; Edmonton,Novelty Mfg. & Art Co.: Publisher,1921,,,1921,"Novelty Mfg. & Art Co. Ltd., Montreal",For more information visit the University of Alberta Library digital collections rights page,Universities & colleges; Medical education; University of Alberta
PC013646,https://archive.org/details/PC013646,"Swifts' Packing Plant, Edmonton, Alta.",image/jpeg,"Swift-Canadian Co. Plant, Edmonton, Alberta.",,Canada; Alberta; Edmonton,The H. Enida Olive Co'y Ltd: Publisher,1921,,,1921,"The H. Enida Olive Co'y Ltd, Calgary, Canada",Public Domain,Packing plants; Industrial facilities
PC006967,https://archive.org/details/PC006967,"Arts Building - University of Alberta, Edmonton, Alberta",image/jpeg,"Exterior view of the Arts Building at the University of Alberta in Edmonton, Alberta including surrounding grounds.",,Canada; Alberta; Edmonton,The Camera Products Co.: Publisher,1930-06-18,,,1930,"The Camera Products Co., 1731 Dunbar Street, Vancouver, B.C.",Public Domain,Universities & colleges; Educational facilities; University of Alberta
PC006591,https://archive.org/details/PC006591,"Canadian Legion Building, Edmonton, Alberta.",image/jpeg,A bird's-eye view of what was also known as the Montgomery Legion Hall.,,Canada; Alberta; Edmonton,Gowen Sutton Co. Ltd: Publisher,1940,,,1940,"Made in Canada by Gowen Sutton Co. Ltd., Vancouver, B.C.",Public Domain,Military facilities; Montgomery Legion Hall (Edmonton;  Alta.)
PC007052,https://archive.org/details/PC007052,"Parliament Buildings, Edmonton, Alberta",image/jpeg,Exterior of Alberta Legislature Building and grounds.,,Canada; Alberta; Edmonton,Gowen Sutton Co. Ltd.: Publisher,1940,,,1940,"Made in Canada by Gowen Sutton Co. Ltd., Vancouver, B.C",Public Domain,Capitols; Government facilities; Legislative bodies; Legislative Building (Edmonton;  Alta.)
PC007094,https://archive.org/details/PC007094,"Administration Building, Edmonton, Alberta",image/jpeg,"Exterior view of the Administration Offices and grounds in Edmonton, Alberta.",,Canada; Alberta; Edmonton,Gowen Sutton Co. Ltd.: Publisher,1940,,,1940,"Gowen Sutton Co. Ltd., Vancouver, B.C.",Public Domain,Office buildings; Government facilities
PC013926,https://archive.org/details/PC013926,"Swimming Pool in Riverside Park, Edmonton, Alberta.",image/jpeg,"Outdoor swimming pool, located on the south side of Edmonton, Alberta.",,Canada; Alberta; Edmonton,Gowen Sutton Co. Ltd.: Publisher,1940,,,1940,"Made in Canada by Gowen Sutton Co. Ltd., Vancouver, B.C.",Public Domain,Swimming pools; Swimmers; Bathing suits
PC006709,https://archive.org/details/PC006709,"103rd Street, Edmonton, Alberta.",image/jpeg,View of a commercial street in town with stores and shops on the either side or pedestrians on the sidewalk and cars are driving and parked on either side.,,Canada; Alberta; Edmonton,,1940-01-12,,,1940,"Gowen Sutton Co. Ltd., Vancouver, B.C.",For more information visit the University of Alberta Library digital collections rights page,Commercial streets; Storefronts; Stores & shops; Automobiles
PC013850,https://archive.org/details/PC013850,"McDougall Methodist Church, Edmonton, Alta.",image/jpeg,"McDougall Methodist Church, Edmonton, Alberta.",,Canada; Alberta; Edmonton,Valentine Edy Company Limited: Publisher,1944,,,1944,"Valentine Edy Company Limited, Winnipeg",Public Domain,Methodist churches; McDougall United Church (Edmonton;  Alta.)
PC006425,https://archive.org/details/PC006425,"Aerial view of Edmonton, Alberta, Canada",image/jpeg,Colorized photograph aerial view of the downtown Edmonton business district.,,Canada; Alberta; Edmonton,Photogelatine Engraving Co.: Publisher,2023-12-07T22:39:11Z,,,2023,"Photogelatine Engraving Co. Limited, Ottawa",For more information visit the University of Alberta Library digital collections rights page,Aerial views; Cityscapes; Rivers; Business districts; North Saskatchewan River (Alta. and Sask.)
PC013728,https://archive.org/details/PC013728,"MacDonald Hotel, Can. Natl. Rys. Edmonton, Alta.",image/jpeg,View of the Macdonald Hotel as seen from the bottom of the hill.,,Canada; Alberta; Edmonton,Novelty Manufacturing & Art Co.: Publisher,,,,,"Novelty Mfg. & Art Co. Ltd., Montreal",For more information visit the University of Alberta Library digital collections rights page,Hotels; Rivers; Hotel Macdonald (Edmonton;  Alta.); North Saskatchewan River (Alta. and Sask.)
PC010392,https://archive.org/details/PC010392,"Prairie Creek, Edson, Alta.",image/jpeg,"Image shows a general, scenic view of a lake nearn Edson, Alberta.",,Canada; Alberta; Edson,,1917,,,1917,,Public Domain,Lakes & ponds
PC003549,https://archive.org/details/PC003549,"Bear Lake, Edson, Alta.",image/jpeg,"Bathers in Bear Lake, Edson.",,Canada; Alberta; Edson,,2024-06-18T16:01:19Z,,,2024,,Public Domain,Amusement piers; Lakes & ponds; Swimming; Boats; Bathing suits
PC003568,https://archive.org/details/PC003568,"[Evansburg, Alta.]",image/jpeg,View of a two story house behind a fence with forest in the background. Uprooted trees are visible in the foreground.,,Canada; Alberta; Evansburg,,1910-06-18,,,1910,,Public Domain,Houses; Trees; Forests
PC012320,https://archive.org/details/PC012320,"Main Street, Macleod, Alta.",image/jpeg,"View of a downtown street showing storefronts, a parked car, and several pedestrians crossing the street.",,Canada; Alberta; Fort Macleod,,1910-06-20,,,1910,,Public Domain,Commercial streets; Stores & shops; Pedestrians; Utility poles
PC003657,https://archive.org/details/PC003657,Shutes on Peace River below Fort Vermilion,image/jpeg,"A view of rapids, Fort Vermillion, Alberta.",,Canada; Alberta; Fort Vermilion,H. Enida Olive Co'y Ltd: Publisher,1910-11-29,,,1910,"""Copyright"" The H. Enida Olive Co'y Ltd Calgary, Canada",Public Domain,Rivers; Rapids; Logs; Peace River (B.C. and Alta.)
PC026697,https://archive.org/details/PC026697,"Public School, Gleichen, Alberta",image/jpeg,,,Canada; Alberta; Gleichen,,1911,,,1911,,Public Domain,
PC019484,https://archive.org/details/PC019484,"Athabasca Hotel, Jasper Town, Alberta",image/jpeg,,,Canada; Alberta; Jasper,,1930,,,1930,,Public Domain,
PC010526,https://archive.org/details/PC010526,"Logging at Lac La Biche, Alta.",image/jpeg,Team of horses pull a load of logs on runners over the snow.,,Canada; Alberta; Lac La Biche,,2024-06-20T13:45:17Z,,,2024,,Public Domain,Lumber industry; Horses
PC003864,https://archive.org/details/PC003864,"Railway Street, Lacombe, Alta.",image/jpeg,"Street with store fronts and horse-drawn carriages. The street is unpaved, and people can be seen on the carriages, in the street and on the sidewalks in front of the stores.",,Canada; Alberta; Lacombe,"Scales, Jno.: Publisher",1908,,,1908,"Warwick Bro's & Rutter, Limited, Printers, Toronto",Public Domain,Commercial streets; Storefronts; Cityscapes; Carriages & coaches
PC012265,https://archive.org/details/PC012265,"Lacombe, Alta.",image/jpeg,"View of the town of Lacombe, Alberta.",,Canada; Alberta; Lacombe,,1910-06-20,,,1910,,Public Domain,Cityscapes; Cities & towns
PC010589,https://archive.org/details/PC010589,"Merchants Bank corner, Lacombe, Alta.",image/jpeg,A view of the bank building from the front. Several people can be seen on the sidewalk below.,,Canada; Alberta; Lacombe,The Heliotype Co. Ltd.: Publisher,1910,,,1910,"Printed by The Heliotype Co., Ltd., Ottawa",Public Domain,Banks; Merchants' Bank of Canada (Lacombe;  Alta.)
PC008688,https://archive.org/details/PC008688,"Victoria Glacier, Lake Louise, from chalet, Laggan, Alta.",image/jpeg,"Lake Louise, with Victoria Mountain and Glacier in the background.",,Canada; Alberta; Lake Louise,Bloom Bros.: Publisher,1910-06-18,,,1910,"Bloom Bros., Winnipeg, Canada.",Public Domain,Lakes & ponds; Mountains; Glaciers; Trees; Lake Louise (Alta.); Victoria Glacier (Alta.); Banff National Park (Alta.)
PC008814,https://archive.org/details/PC008814,Along the trail of Lake Louise.,image/jpeg,Lake Louise as seen from the lakeside trail.,,Canada; Alberta; Lake Louise,,1910,,,1910,,Public Domain,Lakes & ponds; Mountains; Trails & paths; National parks & reserves; Lake Louise (Alta.); Banff National Park (Alta.)
PC008641,https://archive.org/details/PC008641,"The poppies, Lake Louise, Canadian Rockies",image/jpeg,"Lake Louise, with Victoria Mountain and Glacier in the background.",,Canada; Alberta; Lake Louise,Coast Publishing Co.: Publisher,1924-06-18,,,1924,"The Coast Publishing Co., Vancouver, B.C.",Public Domain,Lakes & ponds; Mountains; Glaciers; Flowers; Lake Louise (Alta.); Victoria Glacier (Alta.); Banff National Park (Alta.)
PC008466,https://archive.org/details/PC008466,"The poppies, Lake Louise, Canadian Rockies",image/jpeg,View of Lake Louise and the glacier from northern shoreline.,,Canada; Alberta; Lake Louise,Coast Publishing Co.: Publisher,1924,,,1924,"Coast Publishing Co., Vancouver, B.C.",For more information visit the University of Alberta Library digital collections rights page,Lakes & ponds; Mountains; Glaciers; Coastlines; Waterfronts; National parks & reserves; Lake Louise (Alta.); Victoria Glacier (Alta.); Banff National Park (Alta.)
PC010628,https://archive.org/details/PC010628,"The Chateau, Lake Louise, Alberta.",image/jpeg,Chateau Lake Louise in Banff National Park.,,Canada; Alberta; Lake Louise,Camera Products Co.: Publisher,1937,,,1937,"Published by The Camera Products Co., 1731 Dunbar Street, Vancouver, B.C.",Public Domain,Lakes & ponds; Hotels; Boats; Lake Louise (Alta.); Chateau Lake Louise (Alta.); Banff National Park (Alta.)
PC008582,https://archive.org/details/PC008582,"Lake Louise and Chalet, Canadian Rockies.",image/jpeg,Over view of Chateau Lake Louise in Banff National Park.,,Canada; Alberta; Lake Louise,Gowen Sutton Co. Ltd: Publisher,2024-01-12T19:14:41Z,,,2024,"Made in Canada by the Gowen Sutton Co. Ltd., Vancouver, B.C.",For more information visit the University of Alberta Library digital collections rights page,Lakes & ponds; Hotels; Mountains; Chateau Lake Louise (Alta.); Lake Louise (Alta.); Banff National Park (Alta.)
PC023824,https://archive.org/details/PC023824,"Lake Louise Chalet, Laggan, Canadian Pacific Railway",image/jpeg,,,Canada; Alberta; Lake Louise Laggan,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC010666,https://archive.org/details/PC010666,"Looking down inclined railway from top of Bank Head, Alberta",image/jpeg,"Four men are pictured atop a coal car on the railroad tracks leading down into Lethbridge, situated in the Old Man River valley.",,Canada; Alberta; Lethbridge,Alberta Railway & Coal Co.: Publisher,1890,,,1890,"Alberta Railway & Coal Co., Lethbridge",Public Domain,Inclined railroads; Mine railroads; Railroad tracks; Coal miners
PC010658,https://archive.org/details/PC010658,"C.P.R. Station, Lethbridge, Alta.",image/jpeg,"The Canadian Pacific Railway (CPR)Station in Lethbridge, built between 1905 and 1906, was a rectangular brick building with a second story wooden tower and large overhanging eaves.",,Canada; Alberta; Lethbridge,,1906,,,1906,,Public Domain,Railroad stations; Carts & wagons; Automobiles; Utility poles
PC004151,https://archive.org/details/PC004151,"Galt Gardens, Lethbridge, Alta.",image/jpeg,"Bird's eye view of Galt Gardens in Lethbridge, Alberta. People are walking in the park and several large buildings are visible across the park.",,Canada; Alberta; Lethbridge,,1907,,,1907,,Public Domain,Parks; Gardens; Buildings; Lampposts; Galt Gardens (Lethbridge;  Alta.)
PC004169,https://archive.org/details/PC004169,"C.P.Ry. Bridge, Lethbridge, Alta.",image/jpeg,View showing the one stage of construction on High Level Bridge. The traveller is visible. Area of the river valley also visible.,,Canada; Alberta; Lethbridge,,1909,,,1909,,Public Domain,Bridge construction; Trestles; Railroad bridges; Houses; Lethbridge Viaduct (Lethbridge;  Alta.); High Level Bridge (Lethbridge;  Alta.)
PC004096,https://archive.org/details/PC004096,"View of the vally and Old Man River, Lethbridge, Alta.",image/jpeg,Image shows a view of hills and a river.,,Canada; Alberta; Lethbridge,,1910,,,1910,,Public Domain,Rivers; Valleys; Hills; Forests; Landscape photographs
PC004176,https://archive.org/details/PC004176,"When completed this is the million dollar Viaduct, Lethbridge",image/jpeg,"View of the Canadian Pacific Railway viaduct in Lethbridge, Alberta (length is one mile and 47 feet).",,Canada; Alberta; Lethbridge,,1910,,,1910,,Public Domain,Railroad bridges; Trestles; Lethbridge Viaduct (Lethbridge;  Alta.); High Level Bridge (Lethbridge;  Alta.)
PC012287,https://archive.org/details/PC012287,"Lethbridge, Alta.",image/jpeg,"Photograph taken looking north down 5th Street from 3rd Avenue. Businesses visible: Union Bank of Canada, Canadian Imperial Bank of Commerce and Lethbridge Hotel",,Canada; Alberta; Lethbridge,,1910-06-20,,,1910,,Public Domain,Commercial streets; Banks; Storefronts; Men; Union Bank of Canada (Lethbridge;  Alta.); Canadian Bank of Commerce (Lethbridge;  Alta.)
PC004167,https://archive.org/details/PC004167,"C.P.Ry. Viaduct, Lethbridge, Alta., height 307 feet length one mile & 47 feet",image/jpeg,View showing the one stage of construction on High Level Bridge. The traveller is visible. Area of the river valley also visible.,,Canada; Alberta; Lethbridge,British & Colonial Photographic Co.: Publisher,1910,,,1910,"Published by British & Colonial Photographic Co., Lethbridge, Alta.",Public Domain,Bridge construction; Trestles; Railroad bridges; Lethbridge Viaduct (Lethbridge;  Alta.); High Level Bridge (Lethbridge;  Alta.)
PC003953,https://archive.org/details/PC003953,"Y.M.C.A. Lethbridge, Alta.",image/jpeg,Exterior view of the Lethbridge Y.M.C.A. and adjacent grounds.,,Canada; Alberta; Lethbridge,,1911,,,1911,,Public Domain,Young Men's Christian associations; Organizations' facilities; Young Men's Christian Association (Lethbridge;  Alta.)
PC003956,https://archive.org/details/PC003956,"Lethbridge, Alta.",image/jpeg,"View of a tree-lined street in Lethbridge, Alberta. The streetcar line can be seen down the middle of the street, with a few streetcars in service. Numerous pedestrians are visible.",,Canada; Alberta; Lethbridge,,1915,,,1915,,Public Domain,Streets; City & town life; Street railroads
PC004086,https://archive.org/details/PC004086,"City Hall, Lethbridge, Alberta, Canada.",image/jpeg,View of the exterior of Lethbridge City Hall and a parked car. Built in 1948 at 910 - 4th Avenue South. Demolished in 1998 and new city hall was to be built on same site.,,Canada; Alberta; Lethbridge,Photogelatine Engravings Co.: Publisher,1948,,,1948,Photogelatine Engravings Co. Ltd. Toronto,For more information visit the University of Alberta Library digital collections rights page,City & town halls
PC004315,https://archive.org/details/PC004315,"City Hall and Fire Brigade, Medicine Hat, Alberta.",image/jpeg,Medicine Hat Fire Department and Equipment in front of the Medicine Hat City Hall.,,Canada; Alberta; Medicine Hat,,1904-06-18,,,1904,,Public Domain,City & town halls; Carts & wagons; Fire fighters; Firefighting equipment
PC004461,https://archive.org/details/PC004461,"Central Park gas well, Medicine Hat, Canada.",image/jpeg,"Big Chief Gas Well, Medicine Hat, Alberta.",,Canada; Alberta; Medicine Hat,Bloom Bros: Publisher,1909-06-18,,,1909,"Bloom Bros., Winnipeg",Public Domain,Conservation of natural resources
PC010781,https://archive.org/details/PC010781,"Bird's eye view of Medicine Hat, Alta., showing Traffic Bridge",image/jpeg,"Bird's eye view of Medicine Hat, Alberta.",,Canada; Alberta; Medicine Hat,Novelty Mfg. & Art Co.: Publisher,1910,,,1910,"Novelty Mfg. & Art Co., Limited, Montreal",Public Domain,Cityscapes; Bridges; Rivers; Finlay Bridge (Medicine Hat;  Alta.)
PC004260,https://archive.org/details/PC004260,"City of Medicine Hat, Alta.",image/jpeg,"View of Medicine Hat, Alberta, from the banks of the Saskatchewan River. The river is spanned by two bridges.",,Canada; Alberta; Medicine Hat,"Warwick Bro's & Rutter: Publisher,Pingle's Drug and Book Store: Copyright holder",1910,,,1910,"Warwick Bro's & Rutter, Limited, Printers, Toronto",Public Domain,Cityscapes; Bridges; Rivers; South Saskatchewan River (Alta. and Sask.)
PC004427,https://archive.org/details/PC004427,"A pretty spot in Medicine Hat, Alta.",image/jpeg,View of a stream with trees growing along its banks. Three men standing on the bank of the stream.,,Canada; Alberta; Medicine Hat,Rumsey & Co: Publisher,1910,,,1910,"Rumsey & Co., 1528 Queen St. West. Toronto, Canada.",Public Domain,Streams; Trees
PC012345,https://archive.org/details/PC012345,"Toronto Street School, Medicine Hat, Alta.",image/jpeg,"Exterior of Toronto Street School, located at the corner of 3rd Street S.E. and 4th Ave.",,Canada; Alberta; Medicine Hat,,1912,,,1912,,Public Domain,Schools
PC026683,https://archive.org/details/PC026683,"Alexander High School, Medicine Hat, Alta., Canada",image/jpeg,,,Canada; Alberta; Medicine Hat,,1912,,,1912,,Public Domain,
PC010760,https://archive.org/details/PC010760,"Main Street, Medicine Hat, Alta, Canada",image/jpeg,"Main Street, Medicine Hat, Alberta. A carriage and a group of men standing in front a building.",,Canada; Alberta; Medicine Hat,The H. Enida Olive Co'y Ltd: Publisher,1913-06-20,,,1913,"The H. Enida Olive Co'y Ltd, Calgary, Canada",Public Domain,Commercial streets; Carriages & coaches; Commercial facilities; Dogs
PC012330,https://archive.org/details/PC012330,"Union Bank of Canada, Medicine Hat, Alta.",image/jpeg,"Exterior of the Union Bank, located at 603 3rd Street and the corner of 6th Ave.",,Canada; Alberta; Medicine Hat,Gas City Photo Co.: Photographer,1915,,,1915,"Gas City Photo Co., Medicine Hat, Alta.",Public Domain,Banks; Union Bank of Canada (Medicine Hat;  Alta.)
PC010812,https://archive.org/details/PC010812,Medicine Hat Industries,image/jpeg,"Colour postcard with 5 views of Medicine Hat industries: Medicine Hat Milling Co., Alberta Linseed Oil, Alberta Clay Products Co., Porcelain and Alberta Foundry and Machine Co.",,Canada; Alberta; Medicine Hat,"The Valentine & Sons United Publishing Co., Ltd.: Publisher",1915,,,1915,"The Valentine & Sons United Publishing Co., Ltd., Winnipeg, Montreal and Toronto",Public Domain,Industrial facilities; Factories; Montages
PC012348,https://archive.org/details/PC012348,"City Hall , Medicine Hat, Alta., Canada",image/jpeg,Postcard of Medicine Hat's City Hall on Second Street.,,Canada; Alberta; Medicine Hat,,1915-06-20,,,1915,,Public Domain,City & town halls; Carriages & coaches
PC004251,https://archive.org/details/PC004251,"Medicine Hat, Alberta.",image/jpeg,"Aerial view of Medicine Hat, Alberta.",,Canada; Alberta; Medicine Hat,,1945,,,1945,,Public Domain,Aerial views; Cityscapes
PC004439,https://archive.org/details/PC004439,"Old police point, Medicine Hat",image/jpeg,view of South Saskatchewan river near Police Point.,,Canada; Alberta; Medicine Hat,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Rivers; Trees; South Saskatchewan River (Alta. and Sask.)
PC004479,https://archive.org/details/PC004479,"Nanton, Alta.",image/jpeg,"Distant view of the town of Nanton, Alberta.",,Canada; Alberta; Nanton,,1903,,,1903,,Public Domain,Cityscapes
PC004492,https://archive.org/details/PC004492,"Shaw St., Nanton, Alta.",image/jpeg,"Unpaved road in front of businesses in the town of Nanton, Alberta.",,Canada; Alberta; Nanton,,1914,,,1914,,Public Domain,Commercial streets; Stores & shops; Commercial facilities
PC004536,https://archive.org/details/PC004536,"[Unloading of oil well equipment at Olds, Alberta.]",image/jpeg,"Unloading of oil well equipment at Olds, Alberta, Equipment was for Monarch oil well west of Sundre, Alberta in NW1/4, Section 5, Township 32, Range 6, W5 on the banks of the Red Deer River.",,Canada; Alberta; Olds,,1915,,,1915,,Public Domain,Carts & wagons; Petroleum industry; Railroad cars; Horses
PC004609,https://archive.org/details/PC004609,"Timber wolves, Peace River, Alberta.",image/jpeg,A pack of wolves in the mountains.,,Canada; Alberta; Peace River,Hanna Drug Co.: Photographer,1943,,,1943,Photo the Hanna Drug Co.,Public Domain,Wolves
PC004623,https://archive.org/details/PC004623,[Woman on horseback],image/jpeg,A young woman on horseback. The photograph may have been taken in front of her family's farmhouse.,,Canada; Alberta; Peace River,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Horseback riding; Women; Dwellings
PC004637,https://archive.org/details/PC004637,"Pincher Creek, looking south west",image/jpeg,Bird's eye view of a residential street showing houses and trees.,,Canada; Alberta; Pincher Creek,,1912-06-18,,,1912,,Public Domain,Cityscapes; Residential streets; Houses; Trees
